"Source","Role","ConversationTitle","ConversationId","MessageId","OriginalName","Bytes","Hash","Duplicate","ExportPath","Lang"
"fence","assistant","Syntax Check Assistance","686496a7-fdd8-8004-be2c-483c6c36c601","1927b754-4200-4f58-9ea0-d393413f97a4","Syntax Check Assistance","1318","7204DB96","False","D:\Gorstak\Powershell\ChatGPT\Syntax Check Assistance\1927b754_1318b_7204DB96.ps1","powershell"
"fence","assistant","Syntax Check Assistance","686496a7-fdd8-8004-be2c-483c6c36c601","28267bfd-9b52-4582-95c1-e16cc0fa2b62","Start-ProcessKiller","1611","2A3832D9","False","D:\Gorstak\Powershell\ChatGPT\Start-ProcessKiller\28267bfd_1611b_2A3832D9.ps1","powershell"
"fence","assistant","Syntax Check Assistance","686496a7-fdd8-8004-be2c-483c6c36c601","797e65ca-0349-4742-a948-149de8a18b25","Untitled","335","29C51D87","False","D:\Gorstak\Powershell\ChatGPT\Untitled\797e65ca_335b_29C51D87.ps1","powershell"
"fence","assistant","ThreatID conversion error","6864bd4e-6f78-8004-a867-a4fb5928bddb","23d97600-1e13-4156-a551-e822beb903ab","Untitled","225","48897528","False","D:\Gorstak\Powershell\ChatGPT\Untitled\23d97600_225b_48897528.ps1","powershell"
"fence","assistant","ThreatID conversion error","6864bd4e-6f78-8004-a867-a4fb5928bddb","23d97600-1e13-4156-a551-e822beb903ab","Untitled","431","5F2916BA","False","D:\Gorstak\Powershell\ChatGPT\Untitled\23d97600_431b_5F2916BA.ps1","powershell"
"fence","assistant","ThreatID conversion error","6864bd4e-6f78-8004-a867-a4fb5928bddb","34580a4f-1dff-46aa-8b05-9539a15b520a","Untitled","342","CD179C09","False","D:\Gorstak\Powershell\ChatGPT\Untitled\34580a4f_342b_CD179C09.ps1","powershell"
"fence","assistant","ThreatID conversion error","6864bd4e-6f78-8004-a867-a4fb5928bddb","f270b469-8f13-4ca2-8726-005392adeda4","Monitor-System","8815","356552BE","False","D:\Gorstak\Powershell\ChatGPT\Monitor-System\f270b469_8815b_356552BE.ps1","powershell"
"fence","assistant","ThreatID conversion error","6864bd4e-6f78-8004-a867-a4fb5928bddb","f4f923aa-ca4d-4ea4-927f-3d8023037536","Monitor-System","3294","B72AEA6D","False","D:\Gorstak\Powershell\ChatGPT\Monitor-System\f4f923aa_3294b_B72AEA6D.ps1","powershell"
"fence","assistant","Create Local Web Server","686583e8-cc5c-8004-9aaf-8067e218e86c","cb7dee96-8c4b-49b7-8dd4-22100fe53ba8","Untitled","711","FF47821E","False","D:\Gorstak\Powershell\ChatGPT\Untitled\cb7dee96_711b_FF47821E.ps1","powershell"
"fence","assistant","Power timeout options grayed","687306e1-11c4-8004-bb62-ddaad4a97bec","17a7c1c3-2f84-494d-afeb-95a9dfaf8548","Untitled","447","937A35F0","False","D:\Gorstak\Powershell\ChatGPT\Untitled\17a7c1c3_447b_937A35F0.ps1","powershell"
"fence","assistant","Benchmark Script Optimization","68734ff3-bc18-8004-a940-269cc5a8607e","0f7520b7-56d0-4b30-8861-a483e079e2dc","Test-CPU","5701","6B6239DD","False","D:\Gorstak\Powershell\ChatGPT\Test-CPU\0f7520b7_5701b_6B6239DD.ps1","powershell"
"fence","assistant","Benchmark Script Optimization","68734ff3-bc18-8004-a940-269cc5a8607e","100faf58-3e90-4695-a31a-05089fd85e26","Test-CPU","4887","8564C5F5","False","D:\Gorstak\Powershell\ChatGPT\Test-CPU\100faf58_4887b_8564C5F5.ps1","powershell"
